iter	Passed	Remaining
0	135	135196
1	136	67921
2	137	45737
3	138	34384
4	138	27571
5	139	23042
6	140	19942
7	143	17787
8	144	15941
9	145	14445
10	147	13265
11	148	12244
12	149	11358
13	150	10590
14	151	9965
15	153	9411
16	153	8874
17	154	8443
18	155	8041
19	156	7674
20	158	7374
21	159	7111
22	161	6852
23	162	6615
24	164	6405
25	165	6209
26	167	6022
27	168	5832
28	169	5671
29	170	5510
30	172	5397
31	173	5258
32	174	5122
33	175	4996
34	176	4875
35	177	4759
36	178	4655
37	180	4558
38	180	4458
39	181	4354
40	182	4263
41	183	4180
42	184	4097
43	185	4021
44	185	3946
45	186	3875
46	187	3810
47	188	3743
48	189	3677
49	190	3611
50	190	3550
51	191	3490
52	192	3431
53	192	3375
54	193	3321
55	193	3270
56	194	3218
57	195	3169
58	195	3121
59	196	3075
60	196	3031
61	197	2989
62	198	2946
63	198	2905
64	199	2865
65	199	2825
66	200	2787
67	200	2750
68	201	2714
69	201	2681
70	202	2649
71	203	2617
72	203	2585
73	204	2554
74	204	2524
75	205	2494
76	205	2465
77	206	2436
78	206	2409
79	207	2382
80	207	2355
81	208	2329
82	208	2302
83	209	2279
84	209	2256
85	210	2233
86	210	2210
87	211	2188
88	211	2166
89	212	2145
90	212	2125
91	213	2105
92	213	2086
93	214	2068
94	215	2049
95	215	2031
96	216	2013
97	216	1995
98	217	1978
99	217	1961
100	218	1945
101	219	1929
102	219	1913
103	220	1898
104	220	1883
105	221	1868
106	222	1853
107	222	1838
108	223	1823
109	223	1809
110	224	1795
111	224	1782
112	225	1769
113	226	1756
114	226	1743
115	227	1730
116	227	1717
117	228	1706
118	228	1694
119	229	1682
120	229	1669
121	230	1657
122	230	1646
123	231	1635
124	232	1625
125	232	1614
126	233	1602
127	233	1591
128	234	1581
129	234	1570
130	235	1561
131	236	1551
132	236	1542
133	237	1532
134	237	1523
135	238	1513
136	238	1504
137	239	1494
138	239	1485
139	240	1475
140	240	1466
141	241	1456
142	241	1448
143	242	1440
144	242	1432
145	243	1424
146	244	1415
147	244	1407
148	244	1399
149	245	1390
150	245	1382
151	246	1374
152	246	1367
153	247	1359
154	248	1352
155	248	1346
156	249	1338
157	249	1331
158	250	1324
159	250	1317
160	251	1309
161	251	1302
162	252	1296
163	253	1290
164	253	1283
165	254	1277
166	254	1271
167	255	1265
168	256	1259
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1229
174	259	1223
175	259	1217
176	260	1211
177	260	1205
178	261	1199
179	262	1193
180	262	1188
181	263	1182
182	263	1177
183	264	1172
184	264	1167
185	265	1161
186	265	1156
187	266	1150
188	266	1145
189	267	1140
190	267	1135
191	268	1129
192	269	1125
193	269	1120
194	270	1115
195	270	1111
196	271	1106
197	271	1101
198	272	1096
199	272	1091
200	273	1087
201	274	1082
202	274	1078
203	275	1074
204	275	1069
205	276	1065
206	276	1060
207	277	1056
208	277	1051
209	278	1046
210	278	1042
211	279	1038
212	280	1034
213	280	1030
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1007
220	284	1003
221	285	999
222	285	996
223	286	992
224	287	988
225	287	985
226	288	981
227	288	977
228	289	973
229	289	970
230	290	966
231	291	963
232	291	960
233	292	957
234	293	954
235	293	950
236	294	947
237	294	943
238	295	940
239	295	936
240	296	933
241	297	930
242	297	927
243	298	924
244	298	920
245	299	917
246	299	914
247	300	911
248	301	908
249	301	905
250	302	902
251	302	899
252	303	896
253	304	893
254	304	890
255	305	887
256	305	884
257	306	880
258	306	878
259	307	875
260	308	873
261	308	870
262	309	867
263	310	864
264	310	861
265	310	858
266	311	854
267	312	852
268	312	849
269	313	847
270	314	844
271	314	842
272	315	839
273	315	836
274	316	833
275	316	830
276	317	828
277	318	826
278	318	824
279	319	821
280	320	819
281	320	816
282	321	813
283	321	810
284	322	808
285	322	805
286	323	803
287	323	800
288	324	798
289	325	796
290	325	793
291	326	791
292	326	788
293	327	786
294	327	783
295	328	781
296	329	779
297	329	777
298	330	775
299	331	772
300	331	770
301	332	767
302	332	765
303	333	762
304	333	760
305	334	758
306	335	756
307	335	754
308	336	752
309	337	750
310	337	747
311	338	745
312	338	743
313	339	741
314	339	738
315	340	736
316	341	734
317	341	733
318	342	730
319	342	728
320	343	726
321	343	724
322	344	721
323	345	719
324	345	718
325	346	716
326	346	714
327	347	711
328	348	709
329	348	707
330	349	705
331	349	703
332	350	701
333	350	699
334	351	697
335	351	695
336	352	693
337	352	691
338	353	689
339	353	687
340	354	685
341	354	683
342	355	681
343	356	679
344	357	677
345	357	676
346	358	674
347	359	672
348	359	670
349	360	668
350	360	667
351	361	665
352	362	663
353	362	662
354	363	660
355	364	658
356	364	656
357	365	655
358	365	653
359	366	651
360	366	649
361	367	647
362	368	646
363	368	644
364	369	642
365	369	640
366	370	638
367	370	636
368	371	635
369	371	633
370	372	631
371	373	630
372	374	628
373	374	627
374	375	625
375	375	623
376	376	622
377	376	620
378	377	618
379	378	616
380	378	615
381	379	613
382	379	611
383	380	610
384	381	608
385	381	607
386	382	605
387	382	603
388	383	602
389	384	601
390	384	599
391	385	597
392	386	596
393	386	594
394	387	592
395	387	591
396	388	589
397	388	587
398	389	586
399	389	584
400	390	583
401	391	581
402	391	580
403	392	578
404	392	577
405	393	575
406	394	574
407	394	572
408	395	571
409	396	569
410	396	568
411	397	566
412	397	565
413	398	563
414	398	562
415	399	560
416	400	559
417	400	558
418	401	556
419	402	555
420	402	554
421	403	552
422	404	551
423	404	549
424	405	548
425	405	546
426	406	545
427	407	543
428	407	542
429	408	540
430	408	539
431	409	538
432	409	536
433	410	535
434	410	533
435	411	532
436	412	530
437	412	529
438	413	528
439	413	526
440	414	525
441	414	523
442	415	522
443	416	521
444	416	519
445	417	518
446	418	517
447	418	516
448	419	514
449	419	513
450	420	511
451	421	510
452	421	509
453	422	507
454	422	506
455	423	505
456	424	503
457	424	502
458	425	501
459	425	499
460	426	498
461	426	497
462	427	495
463	428	494
464	428	493
465	429	491
466	429	490
467	430	489
468	431	487
